"Label","InputSize","Result","Time","Space","Hashes","Ratio"
"fma_fnv",10000000,2.514360467456e6,2967.555712965,1.263434051275e12,1000,0.1
"fma_fnv",10000000,1.62216804352e6,2989.842689892,1.268230261641e12,1000,0.1
"fma_fnv",10000000,2.0277100544e6,2983.889101653,1.262470261641e12,1000,0.1
"fma_fnv",10000000,1.703276445696e6,2981.759064357,1.266470261641e12,1000,0.1
"fma_fnv",10000000,1.62216804352e6,2983.882892485,1.266950261641e12,1000,0.1
"fma_fnv",10000000,2.0856446273828573e6,3007.942707322,1.264230261481e12,1000,0.15
"fma_fnv",10000000,1.8539063354514285e6,2996.287772221,1.267270261481e12,1000,0.15
"fma_fnv",10000000,1.62216804352e6,2996.267309177,1.264550261481e12,1000,0.15
"fma_fnv",10000000,1.8539063354514285e6,2996.808517704,1.268230261481e12,1000,0.15
"fma_fnv",10000000,2.2015137733485713e6,2999.084786687,1.265670261481e12,1000,0.15
"fma_fnv",10000000,1.946601652224e6,2999.483541052,1.268550261209e12,1000,0.2
"fma_fnv",10000000,2.43325206528e6,2994.877348898,1.267270261209e12,1000,0.2
"fma_fnv",10000000,1.946601652224e6,2999.020519962,1.268710261209e12,1000,0.2
"fma_fnv",10000000,1.7843848478720002e6,2997.541728691,1.264870261209e12,1000,0.2
"fma_fnv",10000000,1.62216804352e6,2996.48053413,1.267270261209e12,1000,0.2
"fma_fnv",10000000,1.82493904896e6,3001.785014504,1.262150259641e12,1000,0.25
"fma_fnv",10000000,2.0277100544e6,3005.094099294,1.266310259641e12,1000,0.25
"fma_fnv",10000000,1.62216804352e6,3011.633666409,1.268390259641e12,1000,0.25
"fma_fnv",10000000,2.0277100544e6,3024.194318874,1.269990259641e12,1000,0.25
"fma_fnv",10000000,1.62216804352e6,2996.908425322,1.264710259641e12,1000,0.25
"fma_fnv",10000000,1.62216804352e6,2995.07198773,1.265030259673e12,1000,0.3
"fma_fnv",10000000,1.82493904896e6,3003.731818644,1.265190259673e12,1000,0.3
"fma_fnv",10000000,1.62216804352e6,3011.327973904,1.268870259673e12,1000,0.3
"fma_fnv",10000000,1.62216804352e6,3013.77815425,1.273350259673e12,1000,0.3
"fma_fnv",10000000,1.8249390489600003e6,3004.946105766,1.266630259673e12,1000,0.3
"fma_fnv",10000000,1.62216804352e6,3008.453569159,1.265510259369e12,1000,0.35
"fma_fnv",10000000,1.62216804352e6,3007.064935527,1.265030259369e12,1000,0.35
"fma_fnv",10000000,1.62216804352e6,3007.085983481,1.264390259369e12,1000,0.35
"fma_fnv",10000000,1.62216804352e6,3004.774514382,1.263430259369e12,1000,0.35
"fma_fnv",10000000,1.62216804352e6,3006.303034137,1.265350259369e12,1000,0.35
"fma_fnv",10000000,2.703613405866667e6,3008.752529491,1.265510259625e12,1000,0.4
"fma_fnv",10000000,1.62216804352e6,3013.826571491,1.267590259625e12,1000,0.4
"fma_fnv",10000000,2.1628907246933333e6,3012.161868769,1.264550259625e12,1000,0.4
"fma_fnv",10000000,1.62216804352e6,3011.729557217,1.266790259625e12,1000,0.4
"fma_fnv",10000000,1.62216804352e6,3017.69008606,1.265830259625e12,1000,0.4
"fma_fnv",10000000,1.62216804352e6,3017.479696743,1.264070259401e12,1000,0.45
"fma_fnv",10000000,1.62216804352e6,3014.076214534,1.263750259401e12,1000,0.45
"fma_fnv",10000000,1.62216804352e6,3018.262004379,1.266630259401e12,1000,0.45
"fma_fnv",10000000,1.62216804352e6,3018.479463859,1.265830259401e12,1000,0.45
"fma_fnv",10000000,1.62216804352e6,3021.173951713,1.265510259401e12,1000,0.45
"fma_fnv",10000000,1.62216804352e6,3015.915867118,1.260870259081e12,1000,0.5
"fma_fnv",10000000,1.62216804352e6,3015.920446358,1.263270259081e12,1000,0.5
"fma_fnv",10000000,1.62216804352e6,3024.341589534,1.256230259081e12,1000,0.5
"fma_fnv",10000000,1.62216804352e6,3026.366156878,1.271750259081e12,1000,0.5
"fma_fnv",10000000,1.62216804352e6,3072.292236835,1.265990259081e12,1000,0.5
"fma_fnv",10000000,1.62216804352e6,3020.979273706,1.266150259081e12,1000,0.55
"fma_fnv",10000000,1.62216804352e6,3022.124217254,1.269670259081e12,1000,0.55
"fma_fnv",10000000,1.62216804352e6,3030.50386128,1.265830259081e12,1000,0.55
"fma_fnv",10000000,1.62216804352e6,3043.066767226,1.271270259081e12,1000,0.55
"fma_fnv",10000000,1.62216804352e6,3031.246273362,1.260390259081e12,1000,0.55
"fma_fnv",10000000,2.43325206528e6,3042.889362404,1.263110259081e12,1000,0.6
"fma_fnv",10000000,1.62216804352e6,3046.099992474,1.265830259081e12,1000,0.6
"fma_fnv",10000000,1.62216804352e6,3033.841826517,1.266950259081e12,1000,0.6
"fma_fnv",10000000,1.62216804352e6,3048.968978879,1.265190259081e12,1000,0.6
"fma_fnv",10000000,1.62216804352e6,3035.154352036,1.262630259081e12,1000,0.6
"fma_fnv",10000000,1.62216804352e6,3061.465548005,1.264070259081e12,1000,0.65
"fma_fnv",10000000,1.62216804352e6,3044.978545899,1.266790259081e12,1000,0.65
"fma_fnv",10000000,1.62216804352e6,3068.509679973,1.267430259081e12,1000,0.65
"fma_fnv",10000000,1.62216804352e6,3074.347316379,1.264390259081e12,1000,0.65
"fma_fnv",10000000,1.62216804352e6,3068.289364686,1.262630259081e12,1000,0.65
"fma_fnv",10000000,1.62216804352e6,3068.483716606,1.266630259081e12,1000,0.7
"fma_fnv",10000000,1.62216804352e6,3075.484693257,1.265030259081e12,1000,0.7
"fma_fnv",10000000,2.43325206528e6,3086.008910657,1.265350259081e12,1000,0.7
"fma_fnv",10000000,1.62216804352e6,3064.27103222,1.265990259081e12,1000,0.7
"fma_fnv",10000000,1.62216804352e6,3061.893479188,1.264390259081e12,1000,0.7
"fma_fnv",10000000,1.62216804352e6,3054.550187766,1.261350259081e12,1000,0.75
"fma_fnv",10000000,1.62216804352e6,3053.049767056,1.271430259081e12,1000,0.75
"fma_fnv",10000000,1.62216804352e6,3045.652032054,1.263750259081e12,1000,0.75
"fma_fnv",10000000,2.0277100544000003e6,3054.238623259,1.268390259081e12,1000,0.75
"fma_fnv",10000000,1.62216804352e6,3109.473001024,1.264070259081e12,1000,0.75
"fma_fnv",10000000,1.62216804352e6,3125.516462527,1.259430259337e12,1000,0.8
