"Label","InputSize","Result","Time","Space","Variables","Ratio"
"ams",10000000,6.36342e11,8.993938477,1.828532041e9,10,0.1
"ams",10000000,1.2318e10,11.144765966,1.812297353e9,10,0.1
"ams",10000000,1.701e10,11.322889497,1.812387145e9,10,0.1
"ams",10000000,1.42502e11,11.608375471,1.814366697e9,10,0.1
"ams",10000000,2.224e10,11.148028169,1.812444105e9,10,0.1
"ams",10000000,1.25e10,11.321015657,1.812305865e9,10,0.15
"ams",10000000,9.87058e11,11.866757923,1.827859817e9,10,0.15
"ams",10000000,1.00248e11,11.328684573,1.813705737e9,10,0.15
"ams",10000000,6.0502e10,11.192951145,1.813080649e9,10,0.15
"ams",10000000,1.13682e11,11.173934828,1.813935113e9,10,0.15
"ams",10000000,8.784e9,11.198079409,1.812254185e9,10,0.2
"ams",10000000,5.81134e11,11.667420844,1.821368265e9,10,0.2
"ams",10000000,2.73928e11,11.564194652,1.816481257e9,10,0.2
"ams",10000000,5.0318e10,11.602563677,1.812914057e9,10,0.2
"ams",10000000,5.6042e10,11.333695002,1.812995753e9,10,0.2
"ams",10000000,3.2426e11,11.448449276,1.817278025e9,10,0.25
"ams",10000000,1.8142e10,11.228240141,1.812388137e9,10,0.25
"ams",10000000,1.31796e11,11.240566308,1.814185321e9,10,0.25
"ams",10000000,2.606e9,11.294663218,1.812175497e9,10,0.25
"ams",10000000,3.0766e10,11.256440609,1.812629449e9,10,0.25
"ams",10000000,5.87722e11,11.49427412,1.821537513e9,10,0.3
"ams",10000000,2.4906e10,11.29230135,1.812507913e9,10,0.3
"ams",10000000,7.7669e11,11.686288637,1.824527049e9,10,0.3
"ams",10000000,8.0082e10,11.35780285,1.813367241e9,10,0.3
"ams",10000000,1.19792e11,11.047314952,1.814008617e9,10,0.3
"ams",10000000,6.57e9,11.002431941,1.812213065e9,10,0.35
"ams",10000000,6.27282e11,11.339821579,1.822104745e9,10,0.35
"ams",10000000,1.1836e10,10.906136847,1.812309801e9,10,0.35
"ams",10000000,8.057322222222222e11,11.201258292,1.823718921e9,10,0.35
