"Label","InputSize","Result","Time","Space","Variables","Ratio"
"ams",10000000,1.5768730915519366e9,616.420090636,2.069999841e9,100000,0.1
"ams",10000000,1.5636357014692035e9,625.080802415,2.063166305e9,100000,0.1
"ams",10000000,1.5617591524551473e9,623.463199707,2.063259025e9,100000,0.1
"ams",10000000,1.5664134938559208e9,609.322792291,2.063408081e9,100000,0.1
"ams",10000000,1.5617851371748202e9,618.80681791,2.063136481e9,100000,0.1
"ams",10000000,1.5752395995074155e9,621.791815501,2.063596849e9,100000,0.2
"ams",10000000,1.5636979194428158e9,621.364968419,2.063113473e9,100000,0.2
"ams",10000000,1.5698549384910758e9,615.618698463,2.063802257e9,100000,0.2
"ams",10000000,1.5548012421264358e9,624.503553051,2.063581825e9,100000,0.2
"ams",10000000,1.5648317841718948e9,621.751326243,2.063429905e9,100000,0.2
"ams",10000000,1.5751742004645345e9,616.886692001,2.063557425e9,100000,0.3
"ams",10000000,1.5739229834964635e9,611.728463948,2.063425617e9,100000,0.3
"ams",10000000,1.5682859894077997e9,628.362997066,2.063176641e9,100000,0.3
"ams",10000000,1.5749934929492095e9,623.56932418,2.063813345e9,100000,0.3
"ams",10000000,1.569071269289091e9,624.165073819,2.063127633e9,100000,0.3
"ams",10000000,1.569922480620155e9,623.152370677,2.063859793e9,100000,0.4
"ams",10000000,1.5634392341104512e9,623.042864197,2.063655041e9,100000,0.4
"ams",10000000,1.5602832831058323e9,621.643584364,2.063267809e9,100000,0.4
"ams",10000000,1.564582095658206e9,622.613398432,2.063089841e9,100000,0.4
"ams",10000000,1.5620734824281151e9,622.678176154,2.063151249e9,100000,0.4
"ams",10000000,1.5745257379892364e9,619.559179004,2.063301441e9,100000,0.5
"ams",10000000,1.5686005396194263e9,620.139898386,2.064062289e9,100000,0.5
"ams",10000000,1.5714263085767171e9,614.652345394,2.063947121e9,100000,0.5
"ams",10000000,1.5729840884333088e9,624.42009255,2.063528465e9,100000,0.5
"ams",10000000,1.5649555824035249e9,620.267343129,2.063337953e9,100000,0.5
"ams",10000000,1.5664680005676174e9,619.28730224,2.064011105e9,100000,0.6
"ams",10000000,1.5689734469205186e9,618.066516515,2.063695489e9,100000,0.6
"ams",10000000,1.5700996352637665e9,621.475157578,2.063799937e9,100000,0.6
"ams",10000000,1.5641340394902873e9,626.907889436,2.063290193e9,100000,0.6
"ams",10000000,1.562084907166037e9,622.367119889,2.063536625e9,100000,0.6
"ams",10000000,1.5726040589221387e9,622.276400356,2.063718673e9,100000,0.7
"ams",10000000,1.5679486724092e9,622.885426501,2.063782193e9,100000,0.7
"ams",10000000,1.5616711025941303e9,627.425057293,2.063185249e9,100000,0.7
"ams",10000000,1.5653979940247545e9,612.11355647,2.063320097e9,100000,0.7
"ams",10000000,1.5718310110117245e9,622.370565937,2.063502449e9,100000,0.7
"ams",10000000,1.5625784621942773e9,621.689007655,2.063119249e9,100000,0.8
"ams",10000000,1.5693120638085742e9,617.230516551,2.063493649e9,100000,0.8
"ams",10000000,1.570032429350344e9,623.62540126,2.063381857e9,100000,0.8
"ams",10000000,1.5666473392145703e9,620.318670781,2.063415681e9,100000,0.8
"ams",10000000,1.5640671728037267e9,625.67921199,2.063171505e9,100000,0.8
"ams",10000000,1.5642609066212113e9,622.149113419,2.063562657e9,100000,0.9
"ams",10000000,1.5724829696031873e9,618.45228235,2.064035969e9,100000,0.9
"ams",10000000,1.57078413971815e9,605.918071048,2.064192481e9,100000,0.9
"ams",10000000,1.5732133043074837e9,619.502858048,2.063371809e9,100000,0.9
"ams",10000000,1.5680359430604982e9,626.604336134,2.063250561e9,100000,0.9
