"Label","InputSize","Result","Time","Space","Variables","Ratio"
"ams",10000000,3.161840460368153e8,10047.150329707,2.375769145e9,1000000,0.1
"ams",10000000,3.160793493334413e8,10151.290931829,2.369530121e9,1000000,0.1
"ams",10000000,3.160023220695255e8,10091.811339056,2.369592633e9,1000000,0.1
"ams",10000000,3.162854799140203e8,10067.478754699,2.369471609e9,1000000,0.2
"ams",10000000,3.156132863989657e8,10069.42594749,2.369843113e9,1000000,0.2
"ams",10000000,3.1625329935608727e8,10078.242108071,2.369304025e9,1000000,0.2
"ams",10000000,3.16106313149844e8,10283.410246931,2.369520297e9,1000000,0.3
"ams",10000000,3.1582077479563415e8,10329.461365185,2.369651145e9,1000000,0.3
"ams",10000000,3.156723555699351e8,9945.246925784,2.369584921e9,1000000,0.3
"ams",10000000,3.1540554872367233e8,9993.75898034,2.369715593e9,1000000,0.4
"ams",10000000,3.1666996072469276e8,9950.573601741,2.369452281e9,1000000,0.4
"ams",10000000,3.164224662987791e8,10020.589933996,2.369493033e9,1000000,0.4
"ams",10000000,3.1576729574066067e8,9956.725274566,2.369388249e9,1000000,0.5
"ams",10000000,3.1608874324683374e8,12268.770714284,2.369464025e9,1000000,0.5
"ams",10000000,3.163691906467989e8,12567.549843612,2.369488057e9,1000000,0.5
"ams",10000000,3.164233088590988e8,10704.411368902,2.369476745e9,1000000,0.6
"ams",10000000,3.1559236151456213e8,10818.596340749,2.369760089e9,1000000,0.6
"ams",10000000,3.1584234758411336e8,10982.510554734,2.369427721e9,1000000,0.6
"ams",10000000,3.162816533411649e8,10694.270086943,2.369460169e9,1000000,0.7
"ams",10000000,3.157609091460824e8,10701.010976898,2.369513897e9,1000000,0.7
"ams",10000000,3.155597176090224e8,11475.297228948,2.369698073e9,1000000,0.7
"ams",10000000,3.1598545058893484e8,11164.950564666,2.369398953e9,1000000,0.8
"ams",10000000,3.1607842839421785e8,13206.740831636,2.369340569e9,1000000,0.8
"ams",10000000,3.166286432746759e8,10848.673796763,2.369281129e9,1000000,0.8
"ams",10000000,3.171424907634295e8,10527.775930088,2.369152121e9,1000000,0.9
"ams",10000000,3.163403121739747e8,12530.041543086,2.369466233e9,1000000,0.9
"ams",10000000,3.15725799727634e8,10477.768982251,2.369687545e9,1000000,0.9
