"Label","InputSize","Result","Time","Space","Variables","Ratio"
"ams",10000000,7.320166508731555e9,54.699126589,1.968140641e9,10000,0.1
"ams",10000000,7.344596443228455e9,57.490837138,1.961268209e9,10000,0.1
"ams",10000000,7.303854748603352e9,57.748298704,1.960731777e9,10000,0.1
"ams",10000000,7.365449461192198e9,57.640135692,1.962016641e9,10000,0.1
"ams",10000000,7.316791678072817e9,59.489366432,1.960310705e9,10000,0.1
"ams",10000000,7.425946770169116e9,59.806479059,1.960894577e9,10000,0.15
"ams",10000000,7.289909340659341e9,60.988696028,1.959492513e9,10000,0.15
"ams",10000000,7.413083906464925e9,60.127478099,1.962158289e9,10000,0.15
"ams",10000000,7.357738079065345e9,60.374943705,1.962948161e9,10000,0.15
"ams",10000000,7.4230124435936e9,60.251597955,1.963174321e9,10000,0.15
"ams",10000000,7.286451832674751e9,60.405961658,1.960721361e9,10000,0.2
"ams",10000000,7.291987170738365e9,61.517368838,1.960683585e9,10000,0.2
"ams",10000000,7.296512518812423e9,60.4338585,1.960444193e9,10000,0.2
"ams",10000000,7.349759302808134e9,60.252661744,1.960004065e9,10000,0.2
"ams",10000000,7.463030722391364e9,60.46935684,1.961722225e9,10000,0.2
"ams",10000000,7.320477611940298e9,60.471084796,1.962127569e9,10000,0.25
"ams",10000000,7.311369080021774e9,60.432457691,1.961178529e9,10000,0.25
"ams",10000000,7.356028407538924e9,60.202720047,1.961562721e9,10000,0.25
"ams",10000000,7.497861462341946e9,59.93327846,1.963284881e9,10000,0.25
"ams",10000000,7.37441384950927e9,59.54755485,1.963027121e9,10000,0.25
"ams",10000000,7.521595168679717e9,59.620978692,1.962618817e9,10000,0.3
"ams",10000000,7.333391363947909e9,59.795381572,1.960331313e9,10000,0.3
"ams",10000000,7.429412661033384e9,60.537399334,1.960957969e9,10000,0.3
"ams",10000000,7.277829036635007e9,60.262950036,1.960981729e9,10000,0.3
"ams",10000000,7.147106187516888e9,60.251915457,1.958923393e9,10000,0.3
"ams",10000000,7.374722447874357e9,60.278936089,1.962973185e9,10000,0.35
"ams",10000000,7.38295763060469e9,60.251761019,1.961647665e9,10000,0.35
"ams",10000000,7.331219679320269e9,60.26085844,1.961015329e9,10000,0.35
"ams",10000000,7.262421652421653e9,60.261414332,1.960954353e9,10000,0.35
"ams",10000000,7.361466666666667e9,60.597640644,1.960830209e9,10000,0.35
"ams",10000000,7.393038323683485e9,60.394533875,1.960747025e9,10000,0.4
"ams",10000000,7.313258029395754e9,60.398696236,1.961640609e9,10000,0.4
"ams",10000000,7.309105413882449e9,60.459064722,1.961049937e9,10000,0.4
"ams",10000000,7.40952094169176e9,60.28102552,1.961969697e9,10000,0.4
"ams",10000000,7.414029666254636e9,60.267269942,1.961384609e9,10000,0.4
"ams",10000000,7.271644951140065e9,60.353454852,1.961196289e9,10000,0.45
"ams",10000000,7.178812457684496e9,60.835397513,1.959331953e9,10000,0.45
"ams",10000000,7.42943161634103e9,59.962195891,1.963182129e9,10000,0.45
"ams",10000000,7.214088442756375e9,59.95439284,1.959876881e9,10000,0.45
"ams",10000000,7.348975482810574e9,59.967028157,1.960996385e9,10000,0.45
"ams",10000000,7.309399753323283e9,60.483946713,1.960415329e9,10000,0.5
"ams",10000000,7.221002973776696e9,59.93214306,1.960999297e9,10000,0.5
"ams",10000000,7.148090492862914e9,60.693864759,1.959384209e9,10000,0.5
"ams",10000000,7.325273175407367e9,60.276738141,1.960713937e9,10000,0.5
"ams",10000000,7.404554672513018e9,60.193748693,1.962001345e9,10000,0.5
"ams",10000000,7.241144726083402e9,60.409418427,1.959648193e9,10000,0.55
"ams",10000000,7.361342015078821e9,60.351385321,1.961290273e9,10000,0.55
"ams",10000000,7.1709957713818035e9,60.579831591,1.958325697e9,10000,0.55
"ams",10000000,7.440110558319513e9,60.425372058,1.961771121e9,10000,0.55
"ams",10000000,7.387827221535503e9,60.258698504,1.961263665e9,10000,0.55
"ams",10000000,7.472761957423279e9,60.32403785,1.962284481e9,10000,0.6
"ams",10000000,7.378306175544297e9,60.508837167,1.961863569e9,10000,0.6
"ams",10000000,7.297427714129842e9,60.552139898,1.960855409e9,10000,0.6
"ams",10000000,7.29538752362949e9,60.941558466,1.962451137e9,10000,0.6
"ams",10000000,7.298175740210124e9,61.753583217,1.960437713e9,10000,0.6
"ams",10000000,7.261189763136401e9,60.74384579,1.960452177e9,10000,0.65
"ams",10000000,7.322292749658003e9,60.28405793,1.960871521e9,10000,0.65
"ams",10000000,7.436462725644206e9,59.911100428,1.961877569e9,10000,0.65
"ams",10000000,7.282558393662068e9,60.14894427,1.960687441e9,10000,0.65
"ams",10000000,7.366887678692988e9,60.399110695,1.962453729e9,10000,0.65
"ams",10000000,7.304145006839945e9,60.266801686,1.960206833e9,10000,0.7
"ams",10000000,7.446021087680355e9,60.027920827,1.960968865e9,10000,0.7
"ams",10000000,7.368260393873085e9,60.271246921,1.961884929e9,10000,0.7
"ams",10000000,7.311874322860238e9,60.45372496,1.961819457e9,10000,0.7
"ams",10000000,7.380060439560439e9,60.650319338,1.961218257e9,10000,0.7
"ams",10000000,7.407922327432414e9,60.092707696,1.961965569e9,10000,0.75
