"Label","InputSize","Result","Time","Space","Variables","Ratio"
"ams",10000000,1.1998595744680852e11,9.946835168,1.836058145e9,100,0.1
"ams",10000000,8.170873684210527e10,12.46012508,1.824225953e9,100,0.1
"ams",10000000,1.2544557894736842e11,12.666543216,1.830766145e9,100,0.1
"ams",10000000,1.0887451612903226e11,12.618239257,1.827883297e9,100,0.1
"ams",10000000,7.123909090909091e10,12.578779103,1.822945281e9,100,0.1
"ams",10000000,1.3916765957446808e11,12.68060818,1.832698977e9,100,0.15
"ams",10000000,9.202462365591397e10,12.533274125,1.825361121e9,100,0.15
"ams",10000000,1.0994282608695653e11,12.57669065,1.827937713e9,100,0.15
"ams",10000000,1.2895042553191489e11,12.710658174,1.831143585e9,100,0.15
"ams",10000000,3.57268e10,12.393115251,1.817579841e9,100,0.15
"ams",10000000,7.489063157894737e10,12.654761354,1.823122305e9,100,0.2
"ams",10000000,1.2213536082474226e11,12.655882601,1.830774785e9,100,0.2
"ams",10000000,1.138125e11,12.769090006,1.829192321e9,100,0.2
"ams",10000000,9.263905263157895e10,12.758809022,1.825933473e9,100,0.2
"ams",10000000,1.2849e11,12.64061969,1.831477697e9,100,0.2
"ams",10000000,1.3838052631578946e11,12.783450248,1.832698401e9,100,0.25
"ams",10000000,1.2425553191489362e11,12.638351582,1.830400961e9,100,0.25
"ams",10000000,1.2923644444444444e11,12.667935095,1.830434033e9,100,0.25
"ams",10000000,1.5390936170212766e11,12.788618809,1.834883105e9,100,0.25
"ams",10000000,1.3863479166666666e11,12.817832114,1.833064385e9,100,0.25
"ams",10000000,1.1827630434782608e11,12.686739409,1.829178417e9,100,0.3
"ams",10000000,1.5052113402061856e11,12.508021474,1.835101441e9,100,0.3
"ams",10000000,1.4160695652173914e11,12.43504221,1.832622801e9,100,0.3
"ams",10000000,1.4754191489361703e11,12.379627665,1.833962209e9,100,0.3
"ams",10000000,1.3685106382978723e11,12.401970472,1.832307329e9,100,0.3
"ams",10000000,1.3110468085106383e11,12.385634038,1.831434497e9,100,0.35
"ams",10000000,1.0653617021276596e11,12.34976039,1.827748577e9,100,0.35
"ams",10000000,1.3726827956989247e11,12.368096856,1.832183425e9,100,0.35
"ams",10000000,1.3296842696629213e11,12.478926052,1.830710033e9,100,0.35
"ams",10000000,9.86904081632653e10,12.625379563,1.827307521e9,100,0.35
"ams",10000000,1.0639968421052632e11,12.688135007,1.827900033e9,100,0.4
"ams",10000000,1.0938468085106383e11,12.667677417,1.828159329e9,100,0.4
"ams",10000000,1.5254569892473117e11,12.740534394,1.834422081e9,100,0.4
"ams",10000000,9.226918367346939e10,12.592986849,1.826195649e9,100,0.4
"ams",10000000,9.876855670103093e10,12.524797093,1.827032097e9,100,0.4
"ams",10000000,1.459365934065934e11,12.835285142,1.833014737e9,100,0.45
"ams",10000000,9.610872340425533e10,12.582920435,1.826216001e9,100,0.45
"ams",10000000,1.0967229166666667e11,12.647373021,1.828574561e9,100,0.45
"ams",10000000,1.1927865979381444e11,12.760265275,1.830187937e9,100,0.45
"ams",10000000,1.4529129032258066e11,12.758381312,1.833326593e9,100,0.45
"ams",10000000,1.0255279569892473e11,12.724090758,1.827035889e9,100,0.5
"ams",10000000,9.769103092783505e10,12.720387642,1.826870529e9,100,0.5
"ams",10000000,1.0791127659574467e11,12.56401502,1.827866961e9,100,0.5
"ams",10000000,1.1945505263157895e11,12.787254791,1.829892737e9,100,0.5
"ams",10000000,1.1666393939393939e11,12.649985693,1.830219361e9,100,0.5
"ams",10000000,1.382628260869565e11,12.63312764,1.832069489e9,100,0.55
"ams",10000000,9.603927835051546e10,12.642550889,1.826666401e9,100,0.55
"ams",10000000,1.7131295454545456e11,12.813968844,1.835864465e9,100,0.55
"ams",10000000,4.141659793814433e10,12.43327715,1.818227137e9,100,0.55
"ams",10000000,1.7226296703296704e11,12.802601782,1.836693009e9,100,0.55
"ams",10000000,1.214216129032258e11,12.720696161,1.829863297e9,100,0.6
"ams",10000000,1.2987425531914894e11,12.774896398,1.831261441e9,100,0.6
"ams",10000000,1.6894574468085107e11,12.936929324,1.837149953e9,100,0.6
