"Label","InputSize","Result","Time","Space","Hashes","Ratio"
"fma_murmur3",10000000,3.0821192826880002e6,78.942767331,1.7018852881e10,100,0.1
"fma_murmur3",10000000,2.879348277248e6,79.417899694,1.7012182905e10,100,0.1
"fma_murmur3",10000000,2.717131472896e6,79.468366438,1.7012184633e10,100,0.1
"fma_murmur3",10000000,2.3115894620160004e6,79.383484487,1.7012182857e10,100,0.1
"fma_murmur3",10000000,2.392697864192e6,79.238114624,1.7012182633e10,100,0.1
"fma_murmur3",10000000,2.780859503177143e6,80.161645606,1.701251652e10,100,0.15
"fma_murmur3",10000000,2.896728649142857e6,79.292212446,1.7012180153e10,100,0.15
"fma_murmur3",10000000,2.8967286491428576e6,79.364702762,1.7012183001e10,100,0.15
"fma_murmur3",10000000,1.8539063354514285e6,80.047974418,1.7012182905e10,100,0.15
"fma_murmur3",10000000,2.7229249301942857e6,78.514646798,1.7012180137e10,100,0.15
"fma_murmur3",10000000,2.757685673984e6,79.216699489,1.7012182889e10,100,0.2
"fma_murmur3",10000000,3.406552891392e6,79.900873364,1.7012176825e10,100,0.2
"fma_murmur3",10000000,3.24433608704e6,80.407507031,1.7012181065e10,100,0.2
"fma_murmur3",10000000,1.946601652224e6,79.329512143,1.7012183017e10,100,0.2
"fma_murmur3",10000000,3.24433608704e6,80.782475255,1.7012179897e10,100,0.2
"fma_murmur3",10000000,2.83879407616e6,79.176342466,1.7012183193e10,100,0.25
"fma_murmur3",10000000,2.83879407616e6,80.339353322,1.7012181097e10,100,0.25
"fma_murmur3",10000000,2.83879407616e6,79.897695411,1.7012179977e10,100,0.25
"fma_murmur3",10000000,2.43325206528e6,79.050890797,1.7012183081e10,100,0.25
"fma_murmur3",10000000,2.83879407616e6,78.658921785,1.7012183129e10,100,0.25
"fma_murmur3",10000000,2.63602307072e6,79.360318995,1.7012182681e10,100,0.3
"fma_murmur3",10000000,2.43325206528e6,80.036558518,1.7012181097e10,100,0.3
"fma_murmur3",10000000,3.0415650816e6,79.477192782,1.7012182873e10,100,0.3
"fma_murmur3",10000000,2.63602307072e6,78.626160009,1.7012182393e10,100,0.3
"fma_murmur3",10000000,2.83879407616e6,79.443828768,1.7012181193e10,100,0.3
"fma_murmur3",10000000,3.24433608704e6,79.574361647,1.7012181177e10,100,0.35
"fma_murmur3",10000000,2.703613405866667e6,79.902156623,1.7012178969e10,100,0.35
"fma_murmur3",10000000,3.24433608704e6,79.132427924,1.7012181001e10,100,0.35
"fma_murmur3",10000000,3.24433608704e6,79.199931599,1.7012182649e10,100,0.35
"fma_murmur3",10000000,2.7036134058666667e6,79.76078973,1.7012179113e10,100,0.35
"fma_murmur3",10000000,3.24433608704e6,80.007109629,1.7012182505e10,100,0.4
"fma_murmur3",10000000,2.7036134058666667e6,79.783422408,1.7012178265e10,100,0.4
"fma_murmur3",10000000,2.703613405866667e6,79.15422467,1.7012181177e10,100,0.4
"fma_murmur3",10000000,3.24433608704e6,79.82844305,1.7012179273e10,100,0.4
"fma_murmur3",10000000,3.24433608704e6,79.762796766,1.7012180889e10,100,0.4
"fma_murmur3",10000000,2.568432735573333e6,79.884494475,1.7012181097e10,100,0.45
"fma_murmur3",10000000,2.1628907246933333e6,79.008642068,1.7012182345e10,100,0.45
"fma_murmur3",10000000,2.9739747464533336e6,79.765260234,1.7012182585e10,100,0.45
"fma_murmur3",10000000,3.24433608704e6,81.550691302,1.7012180665e10,100,0.45
"fma_murmur3",10000000,2.9739747464533336e6,79.962952236,1.7012181033e10,100,0.45
"fma_murmur3",10000000,2.83879407616e6,79.386475996,1.7012178969e10,100,0.5
"fma_murmur3",10000000,3.24433608704e6,78.98022166,1.7012178633e10,100,0.5
"fma_murmur3",10000000,2.43325206528e6,79.7161386,1.7012182409e10,100,0.5
"fma_murmur3",10000000,3.24433608704e6,79.661315872,1.7012179641e10,100,0.5
"fma_murmur3",10000000,2.0277100544000003e6,79.949853491,1.7012181305e10,100,0.5
"fma_murmur3",10000000,3.24433608704e6,79.479368446,1.7012180793e10,100,0.55
"fma_murmur3",10000000,2.43325206528e6,79.421526303,1.7012180153e10,100,0.55
"fma_murmur3",10000000,3.24433608704e6,79.913059888,1.7012182537e10,100,0.55
"fma_murmur3",10000000,2.43325206528e6,79.991353152,1.7012182233e10,100,0.55
"fma_murmur3",10000000,3.24433608704e6,79.802664632,1.7012180745e10,100,0.55
"fma_murmur3",10000000,2.43325206528e6,78.952913418,1.7012182521e10,100,0.6
"fma_murmur3",10000000,2.43325206528e6,80.003821337,1.7012178393e10,100,0.6
"fma_murmur3",10000000,3.24433608704e6,80.480578248,1.7012182665e10,100,0.6
"fma_murmur3",10000000,3.24433608704e6,79.841799653,1.7012182089e10,100,0.6
"fma_murmur3",10000000,2.43325206528e6,79.199530859,1.7012182377e10,100,0.6
"fma_murmur3",10000000,3.24433608704e6,78.968859124,1.7012180569e10,100,0.65
"fma_murmur3",10000000,3.24433608704e6,79.889371848,1.7012180265e10,100,0.65
"fma_murmur3",10000000,3.24433608704e6,80.46495345,1.7012182281e10,100,0.65
"fma_murmur3",10000000,3.24433608704e6,80.113882621,1.7012182153e10,100,0.65
"fma_murmur3",10000000,3.24433608704e6,78.891165659,1.7012179145e10,100,0.65
"fma_murmur3",10000000,2.83879407616e6,79.122915948,1.7012180649e10,100,0.7
"fma_murmur3",10000000,2.43325206528e6,79.856726318,1.7012181033e10,100,0.7
"fma_murmur3",10000000,3.24433608704e6,80.304931859,1.7012177433e10,100,0.7
"fma_murmur3",10000000,2.43325206528e6,79.718506042,1.7012180713e10,100,0.7
"fma_murmur3",10000000,3.24433608704e6,78.970796845,1.7012180985e10,100,0.7
"fma_murmur3",10000000,2.43325206528e6,80.338233787,1.7012177753e10,100,0.75
"fma_murmur3",10000000,3.24433608704e6,80.02145609,1.7012179193e10,100,0.75
"fma_murmur3",10000000,3.24433608704e6,79.936754285,1.7012176329e10,100,0.75
"fma_murmur3",10000000,2.43325206528e6,79.662847963,1.7012182057e10,100,0.75
"fma_murmur3",10000000,2.43325206528e6,79.713855436,1.7012182233e10,100,0.75
"fma_murmur3",10000000,3.24433608704e6,80.587331561,1.7012182697e10,100,0.8
"fma_murmur3",10000000,3.24433608704e6,80.115918654,1.7012182249e10,100,0.8
"fma_murmur3",10000000,3.24433608704e6,80.069152067,1.7012178953e10,100,0.8
"fma_murmur3",10000000,2.43325206528e6,79.341591158,1.7012181881e10,100,0.8
"fma_murmur3",10000000,2.43325206528e6,80.571869984,1.7012174857e10,100,0.8
"fma_murmur3",10000000,3.24433608704e6,80.093273378,1.7012180601e10,100,0.85
"fma_murmur3",10000000,3.24433608704e6,80.467255613,1.7012178937e10,100,0.85
"fma_murmur3",10000000,3.24433608704e6,79.317937808,1.7012181897e10,100,0.85
"fma_murmur3",10000000,3.24433608704e6,95.836439679,1.7012179433e10,100,0.85
"fma_murmur3",10000000,3.24433608704e6,79.945923002,1.7012181961e10,100,0.85
"fma_murmur3",10000000,2.43325206528e6,80.502197736,1.7012182345e10,100,0.9
"fma_murmur3",10000000,3.24433608704e6,79.419318728,1.7012179017e10,100,0.9
"fma_murmur3",10000000,2.2304810598400002e6,80.307240663,1.7012180729e10,100,0.9
"fma_murmur3",10000000,3.24433608704e6,80.626432663,1.7012179673e10,100,0.9
"fma_murmur3",10000000,3.24433608704e6,80.527131184,1.7012182505e10,100,0.9
"fma_murmur3",10000000,2.43325206528e6,79.917037833,1.7012182233e10,100,0.95
"fma_murmur3",10000000,3.24433608704e6,78.941082479,1.7012181737e10,100,0.95
"fma_murmur3",10000000,3.24433608704e6,79.176575812,1.7012177241e10,100,0.95
"fma_murmur3",10000000,3.24433608704e6,79.109249976,1.7012181001e10,100,0.95
"fma_murmur3",10000000,4.86650413056e6,79.422225744,1.7012180585e10,100,0.95
"fma_murmur3",10000000,3.24433608704e6,79.063994645,1.7012182761e10,100,1.0
"fma_murmur3",10000000,3.24433608704e6,79.22059329,1.7012179497e10,100,1.0
"fma_murmur3",10000000,3.24433608704e6,79.23645928,1.7012179417e10,100,1.0
"fma_murmur3",10000000,3.24433608704e6,79.544454104,1.7012177433e10,100,1.0
"fma_murmur3",10000000,3.24433608704e6,79.358675234,1.7012180585e10,100,1.0
