"Label","InputSize","Result","Time","Space","Hashes","Ratio"
"fma_murmur3",10000000,3.24433608704e6,6.051950234,2.618838909e9,10,0.1
"fma_murmur3",10000000,4.1770827120640003e6,5.826907975,2.612180489e9,10,0.1
"fma_murmur3",10000000,3.487661293568e6,5.83557211,2.612180393e9,10,0.1
"fma_murmur3",10000000,4.095974309888e6,5.851580707,2.612180441e9,10,0.1
"fma_murmur3",10000000,2.7576856739840005e6,5.853535486,2.612180377e9,10,0.1
"fma_murmur3",10000000,3.5687696957440004e6,5.892671022,2.612180457e9,10,0.15
"fma_murmur3",10000000,3.284890288128e6,5.89011658,2.612180441e9,10,0.15
"fma_murmur3",10000000,2.960456679424e6,5.832098978,2.612180489e9,10,0.15
"fma_murmur3",10000000,2.7171314728960004e6,5.878473087,2.612180425e9,10,0.15
"fma_murmur3",10000000,4.582624722944001e6,5.881296045,2.612180489e9,10,0.15
"fma_murmur3",10000000,2.960456679424e6,5.855914826,2.612524716e9,10,0.2
"fma_murmur3",10000000,2.9199024783360003e6,5.864490044,2.612179929e9,10,0.2
"fma_murmur3",10000000,3.5687696957440004e6,5.872824008,2.612179913e9,10,0.2
"fma_murmur3",10000000,3.001010880512e6,6.005679333,2.612180057e9,10,0.2
"fma_murmur3",10000000,3.44710709248e6,5.916612334,2.612180025e9,10,0.2
"fma_murmur3",10000000,3.122673483776e6,5.962717197,2.612179977e9,10,0.25
"fma_murmur3",10000000,2.9604566794240004e6,5.887463202,2.612180009e9,10,0.25
"fma_murmur3",10000000,3.771540701184e6,5.912034149,2.612179993e9,10,0.25
"fma_murmur3",10000000,4.217636913152e6,5.87843055,2.612180025e9,10,0.25
"fma_murmur3",10000000,3.3254444892160003e6,5.872649783,2.612179945e9,10,0.25
"fma_murmur3",10000000,2.83879407616e6,5.83482652,2.612179401e9,10,0.3
"fma_murmur3",10000000,4.0554201088e6,5.92111827,2.612179465e9,10,0.3
"fma_murmur3",10000000,2.5346375680000004e6,5.882338053,2.612179337e9,10,0.3
"fma_murmur3",10000000,5.67758815232e6,5.824024388,2.612179481e9,10,0.3
"fma_murmur3",10000000,2.9401795788800004e6,5.839978001,2.612179433e9,10,0.3
"fma_murmur3",10000000,1.92632455168e6,5.851786378,2.612179433e9,10,0.35
"fma_murmur3",10000000,4.86650413056e6,5.901455295,2.612179433e9,10,0.35
"fma_murmur3",10000000,2.83879407616e6,5.875751644,2.612179385e9,10,0.35
"fma_murmur3",10000000,2.5346375680000004e6,5.859396403,2.612179417e9,10,0.35
"fma_murmur3",10000000,3.24433608704e6,5.880304888,2.612179417e9,10,0.35
"fma_murmur3",10000000,3.109155416746667e6,5.871556466,2.612179481e9,10,0.4
"fma_murmur3",10000000,4.0554201088e6,5.861240329,2.612179529e9,10,0.4
"fma_murmur3",10000000,3.514697427626667e6,5.857548035,2.612179497e9,10,0.4
"fma_murmur3",10000000,2.43325206528e6,5.854759007,2.612179417e9,10,0.4
"fma_murmur3",10000000,3.24433608704e6,5.841357903,2.612179465e9,10,0.4
"fma_murmur3",10000000,3.24433608704e6,5.818241744,2.612179497e9,10,0.45
"fma_murmur3",10000000,3.24433608704e6,5.853594145,2.612179513e9,10,0.45
"fma_murmur3",10000000,4.0554201088e6,5.838399249,2.612179481e9,10,0.45
"fma_murmur3",10000000,4.0554201088e6,5.912140319,2.612179481e9,10,0.45
"fma_murmur3",10000000,2.23048105984e6,5.844154859,2.612179561e9,10,0.45
"fma_murmur3",10000000,6.48867217408e6,5.854323907,2.612179129e9,10,0.5
"fma_murmur3",10000000,4.0554201088e6,5.811339113,2.612179065e9,10,0.5
"fma_murmur3",10000000,2.43325206528e6,5.846285086,2.612179065e9,10,0.5
"fma_murmur3",10000000,4.0554201088e6,5.857594966,2.612179145e9,10,0.5
"fma_murmur3",10000000,3.24433608704e6,5.83532376,2.612179113e9,10,0.5
"fma_murmur3",10000000,6.48867217408e6,5.875692039,2.612179129e9,10,0.55
"fma_murmur3",10000000,2.43325206528e6,5.839651694,2.612179001e9,10,0.55
"fma_murmur3",10000000,4.0554201088e6,5.898529179,2.612179065e9,10,0.55
"fma_murmur3",10000000,1.62216804352e6,5.917754731,2.612179049e9,10,0.55
"fma_murmur3",10000000,3.24433608704e6,5.905560507,2.612179097e9,10,0.55
"fma_murmur3",10000000,3.24433608704e6,5.854506298,2.612179209e9,10,0.6
"fma_murmur3",10000000,3.64987809792e6,5.853124482,2.612179257e9,10,0.6
"fma_murmur3",10000000,2.43325206528e6,5.823906404,2.612179177e9,10,0.6
"fma_murmur3",10000000,2.43325206528e6,5.828242134,2.612179225e9,10,0.6
"fma_murmur3",10000000,1.82493904896e6,5.839538174,2.612179209e9,10,0.6
"fma_murmur3",10000000,2.63602307072e6,5.850974702,2.612179257e9,10,0.65
"fma_murmur3",10000000,2.0277100544000003e6,5.860536745,2.612179145e9,10,0.65
"fma_murmur3",10000000,1.82493904896e6,5.850682712,2.612179225e9,10,0.65
"fma_murmur3",10000000,3.24433608704e6,5.879614315,2.612179241e9,10,0.65
"fma_murmur3",10000000,4.0554201088000005e6,5.853001957,2.612179193e9,10,0.65
"fma_murmur3",10000000,3.24433608704e6,5.873809387,2.612179017e9,10,0.7
"fma_murmur3",10000000,3.24433608704e6,5.868653709,2.612179081e9,10,0.7
"fma_murmur3",10000000,2.43325206528e6,5.826902381,2.612179017e9,10,0.7
"fma_murmur3",10000000,3.24433608704e6,5.888277264,2.612179129e9,10,0.7
"fma_murmur3",10000000,2.43325206528e6,5.841050086,2.612179065e9,10,0.7
"fma_murmur3",10000000,4.0554201088e6,5.869932455,2.612179065e9,10,0.75
"fma_murmur3",10000000,2.43325206528e6,5.900211388,2.612179097e9,10,0.75
"fma_murmur3",10000000,6.48867217408e6,5.94928786,2.612179161e9,10,0.75
"fma_murmur3",10000000,2.43325206528e6,5.938640899,2.612179049e9,10,0.75
"fma_murmur3",10000000,4.86650413056e6,5.929623352,2.612179129e9,10,0.75
"fma_murmur3",10000000,4.0554201088000005e6,5.921942275,2.612179241e9,10,0.8
"fma_murmur3",10000000,3.24433608704e6,5.898122427,2.612179241e9,10,0.8
"fma_murmur3",10000000,2.83879407616e6,5.933601284,2.612179273e9,10,0.8
"fma_murmur3",10000000,4.96788963328e6,5.880046788,2.612179305e9,10,0.8
"fma_murmur3",10000000,2.83879407616e6,5.932337772,2.612179209e9,10,0.8
"fma_murmur3",10000000,3.34572158976e6,6.006942351,2.612179289e9,10,0.85
"fma_murmur3",10000000,4.86650413056e6,5.837609763,2.612179289e9,10,0.85
"fma_murmur3",10000000,3.34572158976e6,5.876691605,2.612179241e9,10,0.85
"fma_murmur3",10000000,3.44710709248e6,5.891587798,2.612179289e9,10,0.85
"fma_murmur3",10000000,1.1152405299200001e6,5.936432809,2.612179289e9,10,0.85
"fma_murmur3",10000000,2.43325206528e6,5.877652868,2.612179081e9,10,0.9
"fma_murmur3",10000000,3.24433608704e6,5.878556016,2.612179113e9,10,0.9
"fma_murmur3",10000000,3.24433608704e6,5.859078473,2.612179065e9,10,0.9
"fma_murmur3",10000000,4.0554201088e6,5.870637919,2.612179097e9,10,0.9
"fma_murmur3",10000000,1.0138550272e6,5.910642081,2.612179065e9,10,0.9
"fma_murmur3",10000000,2.43325206528e6,5.902983827,2.612179065e9,10,0.95
"fma_murmur3",10000000,2.43325206528e6,5.882300376,2.612179017e9,10,0.95
"fma_murmur3",10000000,4.86650413056e6,5.839558169,2.612179113e9,10,0.95
"fma_murmur3",10000000,3.24433608704e6,5.850970576,2.612179113e9,10,0.95
