"Label","InputSize","Iterations","Result","Error","Time","Space"
"One Pass F0",10,1,10.0,10.0,0.118632309,3.155081e6
"One Pass F0",100,1,88.0,88.0,0.034324305,21936.0
"One Pass F0",1000,1,862.0,862.0,0.038480166,216608.0
"One Pass F0",10000,1,7083.0,7083.0,0.367778861,1.599056e6
"One Pass F0",100000,1,50107.0,50107.0,0.176442091,1.844576e7
"One Pass F0",1000000,1,369256.0,369256.0,2.00019629,1.61258997e8
